Date,Dividends,Symbol
2011-06-28,0.430000,AACG
2012-08-16,0.174000,AACG
2014-06-26,0.410000,AACG
2017-06-08,0.410000,AACG
2018-08-27,6.000000,AACG
1978-01-30,0.067584,AA
1978-05-01,0.067584,AA
1978-07-31,0.075094,AA
1978-10-30,0.075094,AA
1979-01-29,0.090113,AA
1979-04-30,0.090113,AA
1979-07-30,0.105131,AA
1979-10-29,0.105131,AA
1980-01-28,0.120150,AA
1980-04-28,0.120150,AA
1980-07-28,0.120150,AA
1980-10-31,0.120150,AA
1981-02-02,0.067584,AA
1981-05-04,0.135169,AA
1981-08-03,0.135169,AA
1981-10-30,0.135169,AA
1982-02-01,0.135169,AA
1982-05-03,0.135169,AA
1982-08-02,0.135169,AA
1982-10-29,0.090113,AA
1983-01-31,0.090113,AA
1983-05-02,0.090113,AA
1983-08-01,0.090113,AA
1983-10-31,0.090113,AA
1984-01-30,0.090113,AA
1984-04-30,0.090113,AA
1984-07-30,0.090113,AA
1984-10-29,0.090113,AA
1985-01-28,0.090113,AA
1985-04-29,0.090113,AA
1985-07-29,0.090113,AA
1985-10-28,0.090113,AA
1986-02-03,0.090113,AA
1986-04-28,0.090113,AA
1986-07-28,0.090113,AA
1986-11-03,0.090113,AA
1987-02-03,0.090113,AA
1987-04-27,0.090113,AA
1987-08-03,0.090113,AA
1987-11-17,0.051064,AA
1988-02-01,0.090113,AA
1988-05-02,0.090113,AA
1988-08-01,0.105131,AA
1988-10-31,0.105131,AA
1989-01-30,0.456570,AA
1989-05-01,0.120150,AA
1989-07-31,0.120150,AA
1989-10-30,0.120150,AA
1990-01-29,0.540675,AA
1990-04-30,0.120150,AA
1990-07-30,0.225281,AA
1990-10-29,0.120150,AA
1991-01-28,0.174218,AA
1991-04-29,0.133667,AA
1991-07-29,0.120150,AA
1991-10-28,0.120150,AA
1992-02-03,0.133667,AA
1992-04-27,0.120150,AA
1992-08-03,0.120150,AA
1992-11-02,0.120150,AA
1993-02-01,0.120150,AA
1993-05-03,0.120150,AA
1993-08-02,0.120150,AA
1993-11-01,0.120150,AA
1994-01-31,0.120150,AA
1994-05-02,0.120150,AA
1994-08-01,0.120150,AA
1994-10-31,0.120150,AA
1995-01-30,0.135169,AA
1995-05-01,0.135169,AA
1995-08-02,0.135169,AA
1995-11-01,0.135169,AA
1996-01-31,0.135169,AA
1996-05-01,0.135169,AA
1996-07-31,0.135169,AA
1996-10-30,0.200050,AA
1997-02-05,0.135169,AA
1997-04-30,0.150188,AA
1997-08-06,0.150188,AA
1997-11-05,0.150188,AA
1998-02-04,0.225281,AA
1998-05-06,0.150188,AA
1998-08-05,0.150188,AA
1998-11-04,0.150188,AA
1999-02-04,0.242703,AA
1999-05-05,0.242703,AA
1999-08-04,0.240300,AA
1999-11-03,0.241502,AA
2000-02-02,0.300375,AA
2000-05-03,0.300375,AA
2000-08-02,0.300375,AA
2000-11-01,0.300375,AA
2001-01-31,0.360450,AA
2001-05-02,0.360450,AA
2001-08-01,0.360450,AA
2001-10-31,0.360450,AA
2002-02-06,0.360450,AA
2002-05-01,0.360450,AA
2002-07-31,0.360450,AA
2002-11-06,0.360450,AA
2003-02-05,0.360450,AA
2003-04-30,0.360450,AA
2003-08-06,0.360450,AA
2003-11-05,0.360450,AA
2004-02-04,0.360450,AA
2004-05-06,0.360450,AA
2004-08-04,0.360450,AA
2004-11-03,0.360450,AA
2005-02-02,0.360450,AA
2005-05-04,0.360450,AA
2005-08-03,0.360450,AA
2005-11-02,0.360450,AA
2006-02-01,0.360450,AA
2006-05-03,0.360450,AA
2006-08-02,0.360450,AA
2006-11-01,0.360450,AA
2006-12-21,0.360450,AA
2007-01-31,0.408510,AA
2007-05-02,0.408510,AA
2007-08-01,0.408510,AA
2007-10-31,0.408510,AA
2008-02-06,0.408510,AA
2008-04-30,0.408510,AA
2008-08-06,0.408510,AA
2008-11-05,0.408510,AA
2009-02-04,0.408510,AA
2009-05-06,0.072090,AA
2009-08-05,0.072090,AA
2009-11-04,0.072090,AA
2010-02-03,0.072090,AA
2010-05-05,0.072090,AA
2010-08-04,0.072090,AA
2010-11-03,0.072090,AA
2011-02-02,0.072090,AA
2011-05-12,0.072090,AA
2011-08-03,0.072090,AA
2011-11-02,0.072090,AA
2012-02-01,0.072090,AA
2012-05-10,0.072090,AA
2012-08-01,0.072090,AA
2012-10-31,0.072090,AA
2013-02-06,0.072090,AA
2013-05-09,0.072090,AA
2013-08-07,0.072090,AA
2013-11-06,0.072090,AA
2014-02-05,0.072090,AA
2014-05-08,0.072090,AA
2014-08-06,0.072090,AA
2014-11-05,0.072090,AA
2015-02-04,0.072090,AA
2015-05-07,0.072090,AA
2015-08-05,0.072090,AA
2015-11-04,0.072090,AA
2016-02-03,0.072090,AA
2016-05-04,0.072090,AA
2016-08-03,0.072090,AA
2016-11-02,0.090000,AA
2021-10-28,0.100000,AA
2022-03-07,0.100000,AA
2022-05-16,0.100000,AA
2022-08-08,0.100000,AA
2022-10-31,0.100000,AA
2023-03-06,0.100000,AA
2023-05-15,0.100000,AA
2023-08-07,0.100000,AA
2023-10-30,0.100000,AA
2024-03-04,0.100000,AA
2024-05-20,0.100000,AA
2014-07-31,0.100000,AAL
2014-10-30,0.100000,AAL
2015-02-05,0.100000,AAL
2015-04-30,0.100000,AAL
2015-08-06,0.100000,AAL
2015-11-03,0.100000,AAL
2016-02-08,0.100000,AAL
2016-05-02,0.100000,AAL
2016-08-03,0.100000,AAL
2016-11-03,0.100000,AAL
2017-02-09,0.100000,AAL
2017-05-12,0.100000,AAL
2017-08-10,0.100000,AAL
2017-11-10,0.100000,AAL
2018-02-05,0.100000,AAL
2018-05-07,0.100000,AAL
2018-08-06,0.100000,AAL
2018-11-05,0.100000,AAL
2019-02-05,0.100000,AAL
2019-05-07,0.100000,AAL
2019-08-06,0.100000,AAL
2019-11-05,0.100000,AAL
2020-02-04,0.100000,AAL
2011-03-29,0.020000,AAME
2012-03-28,0.020000,AAME
2012-12-12,0.050000,AAME
2013-03-26,0.020000,AAME
2014-03-25,0.020000,AAME
2014-11-12,0.020000,AAME
2015-04-09,0.020000,AAME
2016-04-07,0.020000,AAME
2017-04-11,0.020000,AAME
2018-04-12,0.020000,AAME
2019-04-09,0.020000,AAME
2021-04-12,0.020000,AAME
2022-04-12,0.020000,AAME
2023-08-21,0.020000,AAME
2024-04-11,0.020000,AAME
2021-03-17,0.100000,AAN
2021-06-16,0.100000,AAN
2021-09-15,0.100000,AAN
2021-12-15,0.100000,AAN
2022-03-16,0.113000,AAN
2022-06-15,0.113000,AAN
2022-09-14,0.113000,AAN
2022-12-14,0.113000,AAN
2023-03-15,0.125000,AAN
2023-06-14,0.125000,AAN
2023-09-13,0.125000,AAN
2023-12-13,0.125000,AAN
2024-03-13,0.125000,AAN
2024-06-14,0.125000,AAN
2006-06-08,0.026337,AAON
2006-12-11,0.026337,AAON
2007-06-07,0.026337,AAON
2007-12-11,0.031605,AAON
2008-06-10,0.031605,AAON
2008-12-10,0.031605,AAON
2009-06-09,0.035556,AAON
2009-12-10,0.035556,AAON
2010-06-08,0.035556,AAON
2010-11-29,0.035556,AAON
2011-06-08,0.035556,AAON
2011-11-29,0.035556,AAON
2012-06-07,0.035556,AAON
2012-11-29,0.071111,AAON
2013-06-11,0.029630,AAON
2013-11-27,0.044444,AAON
2014-06-10,0.057778,AAON
2014-11-28,0.060000,AAON
2015-06-10,0.073333,AAON
2015-11-30,0.073333,AAON
2016-06-08,0.073333,AAON
2016-11-30,0.086667,AAON
2017-06-07,0.086667,AAON
2017-11-29,0.086667,AAON
2018-06-07,0.106667,AAON
2018-11-28,0.106667,AAON
2019-05-31,0.106667,AAON
2019-11-26,0.106667,AAON
2020-06-02,0.126667,AAON
2020-11-25,0.126667,AAON
2021-06-02,0.126667,AAON
2021-11-24,0.126667,AAON
2022-06-02,0.126667,AAON
2022-11-25,0.160000,AAON
2023-03-10,0.080000,AAON
2023-06-08,0.080000,AAON
2023-09-07,0.080000,AAON
2023-11-28,0.080000,AAON
2024-03-15,0.080000,AAON
2024-06-07,0.080000,AAON
2006-03-22,0.060000,AAP
2006-06-21,0.060000,AAP
2006-09-20,0.060000,AAP
2006-12-20,0.060000,AAP
2007-03-21,0.060000,AAP
2007-06-20,0.060000,AAP
2007-09-19,0.060000,AAP
2007-12-19,0.060000,AAP
2008-03-18,0.060000,AAP
2008-06-18,0.060000,AAP
2008-09-17,0.060000,AAP
2008-12-23,0.060000,AAP
2009-03-25,0.060000,AAP
2009-06-24,0.060000,AAP
2009-09-23,0.060000,AAP
2009-12-22,0.060000,AAP
2010-03-24,0.060000,AAP
2010-06-23,0.060000,AAP
2010-09-22,0.060000,AAP
2010-12-21,0.060000,AAP
2011-03-23,0.060000,AAP
2011-06-22,0.060000,AAP
2011-09-21,0.060000,AAP
2011-12-21,0.060000,AAP
2012-03-21,0.060000,AAP
2012-06-20,0.060000,AAP
2012-09-19,0.060000,AAP
2012-12-19,0.060000,AAP
2013-03-20,0.060000,AAP
2013-06-19,0.060000,AAP
2013-09-18,0.060000,AAP
2013-12-18,0.060000,AAP
2014-03-19,0.060000,AAP
2014-06-16,0.060000,AAP
2014-09-17,0.060000,AAP
2014-12-23,0.060000,AAP
2015-03-18,0.060000,AAP
2015-06-17,0.060000,AAP
2015-09-16,0.060000,AAP
2015-12-22,0.060000,AAP
2016-03-16,0.060000,AAP
2016-06-15,0.060000,AAP
2016-09-21,0.060000,AAP
2016-12-21,0.060000,AAP
2017-03-22,0.060000,AAP
2017-06-21,0.060000,AAP
2017-09-21,0.060000,AAP
2017-12-21,0.060000,AAP
2018-03-22,0.060000,AAP
2018-06-21,0.060000,AAP
2018-09-20,0.060000,AAP
2018-12-20,0.060000,AAP
2019-03-21,0.060000,AAP
2019-06-20,0.060000,AAP
2019-09-19,0.060000,AAP
2019-12-19,0.060000,AAP
2020-03-19,0.250000,AAP
2020-06-18,0.250000,AAP
2020-09-17,0.250000,AAP
2020-12-17,0.250000,AAP
2021-03-18,0.250000,AAP
2021-06-17,1.000000,AAP
2021-09-16,1.000000,AAP
2021-12-16,1.000000,AAP
2022-03-17,1.500000,AAP
2022-06-16,1.500000,AAP
2022-09-15,1.500000,AAP
2022-12-15,1.500000,AAP
2023-04-13,1.500000,AAP
2023-07-13,0.250000,AAP
2023-10-12,0.250000,AAP
2024-01-11,0.250000,AAP
2024-04-11,0.250000,AAP
1987-05-11,0.000536,AAPL
1987-08-10,0.000536,AAPL
1987-11-17,0.000714,AAPL
1988-02-12,0.000714,AAPL
1988-05-16,0.000714,AAPL
1988-08-15,0.000714,AAPL
1988-11-21,0.000893,AAPL
1989-02-17,0.000893,AAPL
1989-05-22,0.000893,AAPL
1989-08-21,0.000893,AAPL
1989-11-17,0.000982,AAPL
1990-02-16,0.000982,AAPL
1990-05-21,0.000982,AAPL
1990-08-20,0.000982,AAPL
1990-11-16,0.001071,AAPL
1991-02-15,0.001071,AAPL
1991-05-20,0.001071,AAPL
1991-08-19,0.001071,AAPL
1991-11-18,0.001071,AAPL
1992-02-14,0.001071,AAPL
1992-06-01,0.001071,AAPL
1992-08-17,0.001071,AAPL
1992-11-30,0.001071,AAPL
1993-02-12,0.001071,AAPL
1993-05-28,0.001071,AAPL
1993-08-16,0.001071,AAPL
1993-11-19,0.001071,AAPL
1994-02-07,0.001071,AAPL
1994-05-27,0.001071,AAPL
1994-08-15,0.001071,AAPL
1994-11-18,0.001071,AAPL
1995-02-13,0.001071,AAPL
1995-05-26,0.001071,AAPL
1995-08-16,0.001071,AAPL
1995-11-21,0.001071,AAPL
2012-08-09,0.094643,AAPL
2012-11-07,0.094643,AAPL
2013-02-07,0.094643,AAPL
2013-05-09,0.108929,AAPL
2013-08-08,0.108929,AAPL
2013-11-06,0.108929,AAPL
2014-02-06,0.108929,AAPL
2014-05-08,0.117500,AAPL
2014-08-07,0.117500,AAPL
2014-11-06,0.117500,AAPL
2015-02-05,0.117500,AAPL
2015-05-07,0.130000,AAPL
2015-08-06,0.130000,AAPL
2015-11-05,0.130000,AAPL
2016-02-04,0.130000,AAPL
2016-05-05,0.142500,AAPL
2016-08-04,0.142500,AAPL
2016-11-03,0.142500,AAPL
2017-02-09,0.142500,AAPL
2017-05-11,0.157500,AAPL
2017-08-10,0.157500,AAPL
2017-11-10,0.157500,AAPL
2018-02-09,0.157500,AAPL
2018-05-11,0.182500,AAPL
2018-08-10,0.182500,AAPL
2018-11-08,0.182500,AAPL
2019-02-08,0.182500,AAPL
2019-05-10,0.192500,AAPL
2019-08-09,0.192500,AAPL
2019-11-07,0.192500,AAPL
2020-02-07,0.192500,AAPL
2020-05-08,0.205000,AAPL
2020-08-07,0.205000,AAPL
2020-11-06,0.205000,AAPL
2021-02-05,0.205000,AAPL
2021-05-07,0.220000,AAPL
2021-08-06,0.220000,AAPL
2021-11-05,0.220000,AAPL
2022-02-04,0.220000,AAPL
2022-05-06,0.230000,AAPL
2022-08-05,0.230000,AAPL
2022-11-04,0.230000,AAPL
2023-02-10,0.230000,AAPL
2023-05-12,0.240000,AAPL
2023-08-11,0.240000,AAPL
2023-11-10,0.240000,AAPL
2024-02-09,0.240000,AAPL
2024-05-10,0.250000,AAPL
2011-03-11,0.170000,AAT
2011-06-13,0.210000,AAT
2011-09-13,0.210000,AAT
2011-12-13,0.210000,AAT
2012-03-13,0.210000,AAT
2012-06-13,0.210000,AAT
2012-09-12,0.210000,AAT
2012-12-12,0.210000,AAT
2013-03-13,0.210000,AAT
2013-06-12,0.210000,AAT
2013-09-11,0.210000,AAT
2013-12-11,0.220000,AAT
2014-03-12,0.220000,AAT
2014-06-11,0.220000,AAT
2014-09-10,0.220000,AAT
2014-12-10,0.233000,AAT
2015-03-11,0.233000,AAT
2015-06-10,0.233000,AAT
2015-09-09,0.233000,AAT
2015-12-07,0.250000,AAT
2016-03-09,0.250000,AAT
2016-06-08,0.250000,AAT
2016-09-13,0.250000,AAT
2016-12-06,0.260000,AAT
2017-03-14,0.260000,AAT
2017-06-13,0.260000,AAT
2017-09-13,0.260000,AAT
2017-12-06,0.270000,AAT
2018-03-14,0.270000,AAT
2018-06-13,0.270000,AAT
2018-09-12,0.270000,AAT
2018-12-12,0.280000,AAT
2019-03-13,0.280000,AAT
2019-06-12,0.280000,AAT
2019-09-11,0.280000,AAT
2019-12-11,0.300000,AAT
2020-03-11,0.300000,AAT
2020-06-10,0.200000,AAT
2020-09-09,0.250000,AAT
2020-12-09,0.250000,AAT
2021-03-10,0.280000,AAT
2021-06-09,0.280000,AAT
2021-09-08,0.300000,AAT
2021-12-08,0.300000,AAT
2022-03-09,0.320000,AAT
2022-06-08,0.320000,AAT
2022-09-07,0.320000,AAT
2022-12-07,0.320000,AAT
2023-03-08,0.330000,AAT
2023-06-07,0.330000,AAT
2023-09-06,0.330000,AAT
2023-12-06,0.330000,AAT
2024-03-06,0.335000,AAT
2024-06-06,0.335000,AAT
2013-01-11,0.400000,ABBV
2013-04-11,0.400000,ABBV
2013-07-11,0.400000,ABBV
2013-10-10,0.400000,ABBV
2014-01-13,0.400000,ABBV
2014-04-11,0.420000,ABBV
2014-07-11,0.420000,ABBV
2014-10-10,0.420000,ABBV
2015-01-13,0.490000,ABBV
2015-04-13,0.510000,ABBV
2015-07-13,0.510000,ABBV
2015-10-13,0.510000,ABBV
2016-01-13,0.570000,ABBV
2016-04-13,0.570000,ABBV
2016-07-13,0.570000,ABBV
2016-10-12,0.570000,ABBV
2017-01-11,0.640000,ABBV
2017-04-11,0.640000,ABBV
2017-07-12,0.640000,ABBV
2017-10-12,0.640000,ABBV
