Date,Stock Splits,Symbol
1981-02-23,2:1,AA
1995-02-27,2:1,AA
1999-02-26,2:1,AA
2000-06-12,2:1,AA
2016-10-06,1:3,AA
2016-11-01,1000:801,AA
2021-08-27,1:15,AADI
2023-12-07,1395:1000,AAGR
2023-11-01,17:10,AAMC
1985-11-04,2:1,AAME
1986-11-04,5:4,AAME
1993-09-16,1:4,AAON
1995-03-07,11:10,AAON
2001-10-01,3:2,AAON
2002-06-05,3:2,AAON
2007-08-22,3:2,AAON
2011-06-14,3:2,AAON
2013-07-03,3:2,AAON
2014-07-17,3:2,AAON
2023-08-17,3:2,AAON
2004-01-05,2:1,AAP
2005-09-26,3:2,AAP
1987-06-16,2:1,AAPL
2000-06-21,2:1,AAPL
2005-02-28,2:1,AAPL
2014-06-09,7:1,AAPL
2020-08-31,4:1,AAPL
2023-09-11,1:15,ABAT
1995-08-01,4:3,ABCB
1997-05-01,5:4,ABCB
1999-12-13,6:5,ABCB
2005-03-11,6:5,ABCB
2009-09-28,131:130,ABCB
2009-12-29,131:130,ABCB
2010-03-29,131:130,ABCB
2010-06-28,211:210,ABCB
1993-03-16,2:1,AB
1998-04-03,2:1,AB
1992-04-16,1:2,ABEO
1998-06-18,1:20,ABEO
2006-06-05,1:5,ABEO
2014-10-24,1:50,ABEO
2022-07-05,1:25,ABEO
2005-06-09,6:5,ABEV
2010-12-28,5:1,ABEV
2013-11-11,5:1,ABEV
2004-02-23,1:3,ABIO
2009-01-28,1:20,ABIO
2013-03-05,1:6,ABIO
2015-09-04,1:7,ABIO
2019-04-04,1:18,ABIO
1983-02-04,3:2,ABM
1989-04-10,5:4,ABM
1992-07-31,2:1,ABM
1996-08-06,2:1,ABM
2002-05-07,2:1,ABM
1981-06-01,2:1,ABT
1986-06-02,2:1,ABT
1990-06-01,2:1,ABT
1992-06-01,2:1,ABT
1998-06-01,2:1,ABT
2004-05-03,10000:9356,ABT
2013-01-02,10000:4798,ABT
2016-07-12,1:2,ABTS
2019-04-22,1:5,ABTS
2010-11-04,1:5,ABUS
2007-06-19,1573:1000,ABVC
2011-02-18,1:5,ABVC
2015-08-13,1:5000,ABVC
2016-04-11,314:100,ABVC
2019-05-08,1:18,ABVC
2023-07-25,1:10,ABVC
2020-05-11,1:12,ACB
2024-02-20,1:10,ACB
2020-07-29,1005:1000,AC
2020-09-16,1:7,ACET
2011-05-12,3:1,ACGL
2018-06-21,3:1,ACGL
2011-11-01,1:4,ACHC
2008-08-21,1:18,ACHV
2017-08-03,1:11,ACHV
2018-05-24,1:10,ACHV
2020-07-31,1:20,ACHV
1996-07-02,2:1,ACIW
2014-07-11,3:1,ACIW
2016-07-01,1:4,ACLS
2022-03-24,3:1,ACMR
1995-01-03,2:1,ACNB
2006-11-29,105:100,ACNB
2007-11-28,105:100,ACNB
1981-02-02,5:4,ACNT
1982-02-22,5:4,ACNT
1992-09-22,3:2,ACNT
1995-06-13,3:2,ACNT
2024-01-04,1:16,ACON
2015-09-01,1:4,ACR
2021-02-17,1:3,ACR
2015-10-15,1:10,ACST
2021-08-31,1:8,ACST
2023-07-10,1:6,ACST
2014-11-03,1398:1000,A
1980-08-04,5:4,ACU
1983-07-26,4:3,ACU
1987-03-12,2:1,ADBE
1988-11-23,2:1,ADBE
1993-08-11,2:1,ADBE
1999-10-27,2:1,ADBE
2000-10-25,2:1,ADBE
2005-05-24,2:1,ADBE
2013-08-02,1:12,ADD
2022-09-26,1:40,ADD
1980-04-16,5:4,ADI
1981-04-07,5:4,ADI
1982-04-13,5:4,ADI
1983-04-05,3:2,ADI
1984-04-17,4:3,ADI
1986-04-15,4:3,ADI
1995-01-05,3:2,ADI
1996-01-04,3:2,ADI
1997-01-07,4:3,ADI
2000-03-16,2:1,ADI
2023-08-07,1:25,ADIL
1980-10-27,105:100,ADM
1981-03-23,3:2,ADM
1981-08-17,105:100,ADM
1982-08-17,105:100,ADM
1983-08-16,105:100,ADM
1984-08-14,105:100,ADM
1985-08-13,105:100,ADM
1986-06-03,3:2,ADM
1986-08-12,105:100,ADM
1987-08-11,105:100,ADM
1988-08-16,105:100,ADM
1989-08-22,105:100,ADM
1989-12-05,3:2,ADM
1990-08-14,105:100,ADM
1991-08-13,105:100,ADM
1992-08-11,105:100,ADM
1993-08-17,105:100,ADM
1994-08-16,105:100,ADM
1994-12-06,3:2,ADM
1995-08-17,105:100,ADM
1996-08-15,105:100,ADM
1997-08-14,105:100,ADM
1998-08-20,105:100,ADM
1999-08-19,105:100,ADM
2000-08-24,105:100,ADM
2001-08-30,105:100,ADM
2024-05-14,1:30,ADN
1981-05-22,2:1,ADP
1986-06-09,2:1,ADP
1991-05-01,2:1,ADP
1996-01-02,2:1,ADP
1999-01-04,2:1,ADP
2007-04-02,10000:9033,ADP
2014-10-01,1139:1000,ADP
1987-03-30,3:1,ADSK
1994-10-31,2:1,ADSK
2002-04-19,2:1,ADSK
2004-12-21,2:1,ADSK
1995-05-15,2:1,ADTN
2003-12-16,2:1,ADTN
2022-09-14,1:50,ADTX
2023-08-18,1:40,ADTX
2024-03-21,1:10,ADVM
2023-10-23,1:20,ADXN
1992-02-10,1:2,AE
1992-06-16,2:1,AEG
1995-06-09,5:2,AEG
1998-05-26,2:1,AEG
2000-05-30,2:1,AEG
2003-04-17,104:100,AEG
2016-06-28,1:8,AEHL
2020-09-03,1:3,AEHL
2023-09-18,1:10,AEHL
2022-12-28,1:20,AEI
2015-04-14,1:50,AEMD
2019-10-15,1:15,AEMD
2023-10-05,1:10,AEMD
1998-01-06,3:2,AEO
1998-05-11,3:2,AEO
1999-05-04,2:1,AEO
2001-02-26,3:2,AEO
2005-03-08,2:1,AEO
2006-12-19,3:2,AEO
1994-02-01,3:2,AES
1994-03-04,103:100,AES
1997-08-29,2:1,AES
2000-06-02,2:1,AES
2024-03-19,1:5,AEVA
2018-08-08,1:25,AEYE
2012-10-05,1:6,AEZS
2015-11-20,1:100,AEZS
2022-07-21,1:25,AEZS
2024-05-03,1:4,AEZS
1988-03-14,2:1,AFG
2006-12-18,3:2,AFG
1983-12-14,6:5,AFL
1984-10-22,11:10,AFL
1985-06-04,3:2,AFL
1986-03-03,4:3,AFL
1987-02-03,2:1,AFL
1993-06-15,5:4,AFL
1996-03-18,3:2,AFL
1998-06-09,2:1,AFL
2001-03-19,2:1,AFL
2018-03-19,2:1,AFL
2024-03-11,1:10,AFMD
1994-12-16,3:2,AGCO
1996-02-01,2:1,AGCO
2011-10-03,1:6,AGEN
2023-04-26,1019:1000,AGEN
2024-04-12,1:20,AGEN
2022-10-18,1:10,AGFY
2023-07-05,1:20,AGFY
1999-08-02,3:1,AGM
2023-10-11,1:50,AGRI
2022-04-27,1:40,AGRX
2023-04-11,1:50,AGRX
2001-10-09,1:15,AGX
1980-06-03,3:2,AGYS
1984-08-02,2:1,AGYS
